Title,URL,Current Topics,Primary Topic,Secondary Topic,Content Type,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
A Review of Sterilization Methods and Recommended Monitoring Practices,https://industryperspectives.com/a-review-of-sterilization-methods-and-recommended-monitoring-practices-for-healthcare-facilities-part-ii-terminal-low-temperature-sterilization/,"Care Settings, Decontamination, Disinfection and Sterilization, Sponsored Content","Decontamination, Disinfection and Sterilization",Health Information Technology,Education/Training,Screening,Sterilizers,Monitoring,,
Quality Assurance for Vaporized Hydrogen Peroxide Sterilizers,https://industryperspectives.com/quality-assurance-for-vaporized-hydrogen-peroxide-sterilizers/,"Care Settings, Decontamination, Disinfection and Sterilization, Sponsored Content","Decontamination, Disinfection and Sterilization","Decontamination, Disinfection and Sterilization",Research/Whitepapers,Sterilizers,Monitoring,Screening,,
Overcoming HAI Challenges with UV Technology,https://industryperspectives.com/overcoming-hai-challenges-with-uv-technology/,"Environmental Infection, Health Information Technology, Sponsored Content","Decontamination, Disinfection and Sterilization",Health Information Technology,Product Solutions,MRSA,Sterilizers,"Screening/testing for pathogen (MRSA, C. diff, etc.)",,
Safeguarding the Healthcare Environment Against <em>Clostridium difficile</em>,https://industryperspectives.com/safeguarding-the-healthcare-environment-against-clostridium-difficile/,"Environmental Infection, HAIs: Types and Pathogens, Sponsored Content",HAIs: Types and Pathogens,Environmental Infection,Research/Whitepapers,CDI (C. difficile),Surveillance/ Reporting,Surface Cleaners and disinfectants,Sterilizers,Antibacterial products
Case Study: 25-Hospital IDN Addresses Risks for SSIs and CLABSIs,https://industryperspectives.com/case-study-25-hospital-idn-addresses-risks-for-ssis-and-clabsis/,"Care Settings, HAIs: Types and Pathogens, Sponsored Content",HAIs: Types and Pathogens,"Decontamination, Disinfection and Sterilization",Research/Whitepapers,CLABSI,SSI,Home Health,Patient/process monitoring,PPE – Personal protective equipment
Identifying and Addressing Risks for SSIs and CLABSIs,https://industryperspectives.com/identifying-addressing-risks-for-ssis-and-clabsis/,"Care Settings, HAIs: Types and Pathogens, Sponsored Content",HAIs: Types and Pathogens,Environmental Infection,Research/Whitepapers,SSI,Surveillance/ Reporting,Medical Devices and Equipment,Patient/process monitoring,
CHG Crosswalk: Critical Guideline Review,https://industryperspectives.com/chg-crosswalk-critical-guideline-review/,Diagnostics,"Decontamination, Disinfection and Sterilization",Environmental Infection,Product Solutions,CHG ( Chlorohexidine gluconate),SSI,CLABSI,Skin Disinfection,Alcohol prep pads – sterility issues
Stop Catheter-Associated Urinary Tract Infections (CAUTI) in Critically Ill Patients,https://industryperspectives.com/stop-catheter-associated-urinary-tract-infections-cauti-in-critically-ill-patients/,HAIs: Types and Pathogens,HAIs: Types and Pathogens,Diagnostics,Product Solutions,CAUTI,CDI (C. difficile),Medical Devices and Equipment,,
A Special: On the CUSP: Stop CAUTI Supplement,https://industryperspectives.com/a-special-on-the-cusp-stop-cauti-supplement/,"Care Settings, HAIs: Types and Pathogens",HAIs: Types and Pathogens,Diagnostics,Education/Training,CAUTI,Patient/process monitoring,,,
Plastic Rounds Innovation Reduces CLABSI and CAUTI,https://industryperspectives.com/plastic-rounds-innovation-reduces-clabsi-and-cauti/,HAIs: Types and Pathogens,HAIs: Types and Pathogens,Environmental Infection,Research/Whitepapers,CLABSI,CAUTI,Patient/process monitoring,,
